2021MNRAS.502.4993H,keck,
2021PSJ.....2...45B,keck,
2021AJ....161..116B,keck,
2021MNRAS.502..510J,keck,
2021MNRAS.501.3238T,keck,
2021ApJ...908L..35E,keck,
2021AJ....161...86D,keck,
2021MNRAS.500.2289K,keck,
2021AJ....161...45O,keck,
2021NatAs...5..262J,keck,
2021NatAs...5..256J,keck,
2020ApJ...904..144J,keck,
2020ApJ...905...37B,keck,
2020JApA...41...46K,keck,
2020ApJ...904..140C,keck,
2021MNRAS.502.2389L,keck,
2020MNRAS.499.3061N,keck,
2020A&A...644A.135S,keck,
2020ApJ...904..146F,keck,
2020ApJ...905...32B,keck,
2020ApJ...905...98H,keck,
2020ApJ...905....5D,keck,
2020ApJ...905L...7B,keck,
2020ApJ...904..164N,keck,
2020ApJ...905...58D,keck,
2020ApJ...904L..25C,keck,
2020AJ....160..258K,keck,
2020AJ....160..267S,keck,
2020AJ....160..283U,keck,
2020PSJ.....1...77J,keck,
2020ApJ...905..166L,keck,
2020ApJ...905...16F,keck,
2020AJ....160..285V,keck,
2020ApJ...904..107S,keck,
2020ApJ...905...56M,keck,
2020AJ....160..278D,keck,
2020AJ....160..269M,keck,
2020A&A...643A...6C,keck,
2020AJ....160..224M,keck,
2020Sci...370..970L,keck,
2020ApJ...903..132H,keck,
2020ApJ...904...44H,keck,
2020MNRAS.499.5416C,keck,
2020A&A...643A..79S,keck,
2020AJ....160..207W,keck,
2020ApJ...903...10B,keck,
2020ApJ...903...39K,keck,
2020ApJ...903...47F,keck,
2020ApJ...903..122C,keck,
2020ApJ...903L..16S,keck,
2020ApJ...903L..28S,keck,
2020ApJ...904...26Y,keck,
2020ApJ...904...35P,keck,
2020ApJ...904...53T,keck,
2020MNRAS.500.3987N,keck,
2020Natur.587..387H,keck,
2020ApJ...903...31H,keck,
2020ApJ...904...50M,keck,
2020ApJ...903..152H,keck,
2020ApJ...904...28C,keck,
2020A&A...642A.192E,keck,
2020AJ....160..165H,keck,
2020AJ....160..193D,keck,
2020MNRAS.499.5022D,keck,
2020ApJ...902...25G,keck,
2020AJ....160..196B,keck,
2020MNRAS.499.3775S,keck,
2020A&A...642A.236K,keck,
2020A&A...642L...1M,keck,
2020AJ....160..152G,keck,
2020ApJ...901..134S,keck,
2020ApJ...902...51E,keck,
2020ApJ...902..101S,keck,
2020ApJ...902..123R,keck,
2020ApJ...902..132B,keck,
2020ApJ...902L..16J,keck,
2020ApJS..250...29F,keck,
2020AJ....160..172N,keck,
2020PASJ...72...80Y,keck,
2020AJ....160..164H,keck,
2020AJ....160..154H,keck,
2020ApJ...900...95V,keck,
2020NatAs...4.1148J,keck,
2020A&A...641A..22M,keck,
2020A&A...641A..25N,keck,
2020A&A...641A.127R,keck,
2020AJ....160..150W,keck,
2020ApJ...900...37E,keck,
2020ApJ...901...61L,keck,
2020MNRAS.498.4562M,keck,
2020MNRAS.498.4864S,keck,
2020MNRAS.498.5009F,keck,
2020PSJ.....1...29D,keck,
2020MNRAS.499.1652T,keck,
2020MNRAS.499.1721C,keck,
2020PSJ.....1...33J,keck,
2020MNRAS.499.1450P,keck,
2020AJ....160..129K,keck,
2020ApJ...900....1F,keck,
2020ApJ...900L..27S,keck,
2020MNRAS.499..974G,keck,
2020ApJ...900L..45B,keck,
2020AJ....160..121V,keck,
2020AJ....160..149D,keck,
2020ApJ...900..190L,keck,
2020MNRAS.498...84Z,keck,
2020ApJ...900....2K,keck,
2020Sci...369.1233K,keck,
2020MNRAS.496.3270M,keck,
2020MNRAS.496.5089Z,keck,
2020AJ....160...86B,keck,
2020ApJ...899...64A,keck,
2020ApJ...899..128K,keck,
2020MNRAS.498..639C,keck,
2020ApJ...899..161L,keck,
2020MNRAS.498.1382W,keck,
2020MNRAS.498.2167K,keck,
2020MNRAS.498.2554C,keck,
2020MNRAS.498.3095Y,keck,
2020ApJ...899..117S,keck,
2020MNRAS.498.3648D,keck,
2020AJ....160...93H,keck,
2020ApJ...898..119R,keck,
2020ApJ...899L..13H,keck,
2020MNRAS.498.3964L,keck,
2020ApJ...899..154S,keck,
2020ApJ...899..123M,keck,
2020MNRAS.498..517F,keck,
2020ApJ...898..166J,keck,
2020ApJ...898..142K,keck,
2020AJ....160...81K,keck,
