BibCode,Title,Author,AUaff1,AUaff2,AUaff3,Publication,Date,YYYY,URL,DOI,Notes,Instru,ObsDate,ProjCode,TAC,Subject
2012A&A...543A..29M,The remarkable solar twin HIP 56948: a prime target in the quest for other Earths,"Meléndez, J.|Bergemann, M.|Cohen, J.|et. al.",,,,A&A 543 A29,2012 July,2012,http://dx.doi.org/10.1051/0004-6361/201117222,10.1051/0004-6361/201117222,,HIRES,,,Caltech,
2012Icar..220....6S,Episodic bright and dark spots on Uranus,"Sromovsky, L.|Hammel, H.|de Pater, I.|et. al.",,,,Icarus 220 6,2012 July,2012,http://dx.doi.org/10.1016/j.icarus.2012.04.009,10.1016/j.icarus.2012.04.009,NASA TAC - 26 & 27 Jul 2011,AO|NGS|NIRC2,,,NASA|UC,
2012Icar..220..225W,A parametric study of Io's thermophysical surface properties and subsequent numerical atmospheric simulations based on the best fit parameters,"Walker, A.|Moore, C.|Goldstein, D.|et. al.",,,,Icarus 220 225,2012 July,2012,http://dx.doi.org/10.1016/j.icarus.2012.05.001,10.1016/j.icarus.2012.05.001,,NIRSPEC,,,,
2012Natur.487..338L,High velocity dispersion in a rare grand-design spiral galaxy at redshift z = 2.18,"Law, D.|Shapley, A.|Steidel, C.|et. al.",,,,Nature 487 338,2012 July,2012,,,,AO|LGS|LRIS|NIRSPEC|OSIRIS,,,Caltech|UC,
2012A&A...543A.149G,Hot subdwarf stars in close-up view. II. Rotational properties of single and wide binary subdwarf B stars,"Geier, S.|Heber, U.",,,,A&A 543 A149,2012 July,2012,http://dx.doi.org/10.1051/0004-6361/201219463,10.1051/0004-6361/201219463,,HIRES,,,,
2012ApJ...754...17F,Spatially Resolved HST Grism Spectroscopy of a Lensed Emission Line Galaxy at z ~ 1,"Frye, B.|Hurley, M.|Bowen, D.|et. al.",,,,ApJ 754 17,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/754/1/17,10.1088/0004-637X/754/1/17,,DEIMOS|LRIS,,,,
2012ApJ...754...25R,The Characteristic Star Formation Histories of Galaxies at Redshifts z ~ 2-7,"Reddy, N.|Pettini, M.|Steidel, C.|et. al.",,,,ApJ 754 25,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/754/1/25,10.1088/0004-637X/754/1/25,,LRIS,,,,
2012ApJ...754...38C,Incidence of Mg II Absorption Systems toward Flat-spectrum Radio Quasars,"Chand, H.|Krishna, G.",,,,ApJ 754 38,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/754/1/38,10.1088/0004-637X/754/1/38,,HIRES,,,KOA,
2012A&A...543A.112A,Stripped gas as fuel for newly formed HII regions in the encounter between VCC 1249 and M 49: a unified picture from NGVS and GUViCS,"Arrigoni Battaia, F.|Gavazzi, G.|Fumagalli, M.|et. al.",,,,A&A 543 A112,2012 July,2012,http://dx.doi.org/10.1051/0004-6361/201218895,10.1051/0004-6361/201218895,ii must be uppercase to denote ionization,LRIS,,,UC,
2012ApJ...753..142B,Planets around Low-mass Stars (PALMS). I. A Substellar Companion to the Young M Dwarf 1RXS J235133.3+312720,"Bowler, B.|Liu, M.|Shkolnik, E.|et. al.",,,,ApJ 753 142,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/142,10.1088/0004-637X/753/2/142,,AO|NGS|NIRC2|OSIRIS,,,NOAO|UH,
