BibCode,Title,Author,AUaff1,AUaff2,AUaff3,Publication,Date,YYYY,URL,DOI,Notes,Instru,ObsDate,ProjCode,TAC,Subject
1994ApJ...420L...1S,"Deep imaging of the field of the Z = 4.9 quasar PC 1247+3406, and faint galaxy counts in the K band with the Keck telescope","Soifer, B.|Matthews, K.|Djorgovski, S.|et. al.",,,,ApJ 420 L1,1994 January,1994,http://dx.doi.org/10.1086/187148,,,NIRC,,,,
1994ApJ...420L..13M,Near-infrared imaging of FSC 10214+4724 with the W. M. Keck Telescope,"Matthews, K.|Soifer, B.|Nelson, J.|et. al.",,,,ApJ 420 L13,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L..13M/ADS_PDF,10.1086/187151,,NIRC,,,,
1994ApJ...420L...9L,Near Infrared Images of MG 1131+0456 with the W.M. Keck Telescope. Another Dusty Gravitational Lens?,"Larkin, J.|Matthews, K.|Lawrence, C.|et. al.",,,,ApJ 420 L9,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L...9L/ADS_PDF,10.1086/187150,,NIRC,,,,
1994ApJ...420L...5G,"Infrared Observations of the z=3.8 Radio Galaxy, 4C 41.17, with the W.M. Keck Telescope","Graham, J.|Matthews, K.|Soifer, B.|Nelson, J.|Harrison, W.|Jernigan, J.|Lin|Neugebauer, G.|Smith, G.|Ziomkowski",,,,ApJ 420 L5,1994 January,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...420L...5G/ADS_PDF,10.1086/187149,,NIRC,,,,
1994Natur.368..599S,Deuterium abundance and background radiation temperature in high-redshift primordial clouds,"Songaila, A.|Cowie, L.|Hogan, C.|Rugers, M.",,,,Nature 368 599,1994 April,1994,,10.1038/368599a0,,HIRES,,,,
1994AJ....107.2222M,The Spectrum of the Brown Dwarf Candidate PC 0025+0447,"Mould, J.|Cohen, J.|Oke, J.|Reid, N.",,,,AJ 107 2222,1994 June,1994,https://authors.library.caltech.edu/96085/,10.1086/117032,,LRIS,,,,
1994ApJ...428L..57M,A Search for Lithium in Pleiades Brown Dwarf Candidates Using the Keck HIRES Echelle,"Marcy, G.|Basri, G.|Graham, J.",,,,ApJ 428 L57,1994 June,1994,http://dx.doi.org/10.1086/187392,10.1086/187392,,HIRES,,,,
1994Natur.371...13M,A Distant Space Thermometer,"Meyer, D.",,,,Nature 371 13,1994 September,1994,http://dx.doi.org/10.1038/371013a0,10.1038/371013a0,,HIRES,,,,
1994Natur.371...43S,Measurement of the Microwave Background Temperature at a Redshift of 1.776,"Songaila, A.|Cowie, L.|Vogt, S.|et. al.",,,,Nature 371 43,1994 September,1994,http://dx.doi.org/10.1038/371043a0,10.1038/371043a0,,HIRES,,,,
1994ApJ...433L..69S,Near Infrared Observation of FSC 15307+3252,"Soifer, B.|Neugebauer, G.|Matthews, K.|Armus, L.",,,,ApJ 433 L69,1994 October,1994,https://ui.adsabs.harvard.edu/link_gateway/1994ApJ...433L..69S/ADS_PDF,10.1086/187550,,NIRC,,,,
1994ApJ...435L.101W,Metal Abundances in a High Redshift Protogalaxy Obtained with the Keck Telescope,"Wolfe, A.|Fan, X.|Tytler, D.|et. al.",,,,ApJ 435 L101,1994 November,1994,http://dx.doi.org/10.1086/187604,10.1086/187604,,HIRES,,,,
1995LNP...463..125B,Deep near-infrared imaging with the Keck Telescope,"Bershady, M.",,,,LNP 463 125,1995,1995,http://dx.doi.org/10.1007/BFb0102369,,added oct 2010,NIRC,,,,
1995ApJ...438L..13D,Deep Galaxy Counts in the K-band with the Keck Telescope,"Djorgovski, S.|Soifer, B.|Pahre, M.|et. al.",,,,ApJ 438 L13,1995 January,1995,,,,NIRC,,,,
1995AJ....109..151V,Internal Kinematics of the Leo II Dwarf Spheroidal Galaxy,"Vogt, S.|Mateo, M.|Olszewski, E.|Keane, M.",,,,AJ 109 151,1995 January,1995,,,,HIRES,,,,
1995ApJ...438L..51S,Keck Observations of the Most Distant Galaxy 8C 1435+63 at z=4.25,"Spinrad, H.|Dey, A.|Graham, J.",,,,ApJ 438 L51,1995 January 10,1995,,,,LRIS,,,,
1995AJ....109..762B,A Surprise at the Bottom of the Main Sequence: Rapid Rotation and No H Alpha Emission,"Basri, G.|Marcy, G.",,,,AJ 109 762,1995 February,1995,,,,HIRES,,,,
1995PASP..107..179G,Spectropolarimetry. II. Circular Polarization Optics and Techniques,"Goodrich, R.|Cohen, M.|Putney, A.",,,,PASP 107 179,1995 February,1995,,,,LRIS,,,,
1995ApJ...440..515D,Discovery of a z=2.76 Dusty Radio Galaxy?,"Dey, A.|Spinrad, H.|Dickinson, M.",,,,ApJ 440 515,1995 February 20,1995,,,,LRIS,,,,
1995ApJ...440L..49K,High-Resolution Spectra of Distant Compact Narrow Emission Line Galaxies: Progenitors of Spheroidal Galaxies?,"Koo, D.|Guzman, R.|Faber, S.M.|et. al.",,,,ApJ 440 L49,1995 February 20,1995,,,,HIRES,,,,
1995Sci...267.1320G,The Fragment R Collision: W. M. Keck Telescope Observations of SL9,"Graham, J.|de Pater, I.|Jernigan, J.|Liu, M.|Brown, M.",,,,Science 267 1320,1995 March,1995,,,,NIRC,,,,Solar System
1995AJ....109.1522C,The Metallicity and Internal Structure of the Lyman-Alpha Forest Clouds,"Cowie, L.|Songaila, A.|Kim, T.|Hu, E.",,,,AJ 109 1522,1995 April,1995,,,,HIRES,,,,
1995PASP..107..375O,The Keck Low-Resolution Imaging Spectrometer,"Oke, J.|Cohen,  J.|Carr, M.|et. al.",,,,PASP 107 375,1995 April,1995,,,,LRIS,,,,
1995ApJ...443L..65S,Near Infrared and Optical Spectroscopy of FSC10214+4724,"Soifer, B.|Cohen, J.|Armus, L.|et. al.",,,,ApJ 443 L65,1995 April 20,1995,,,,LRIS|NIRC,,,,
1995ApJ...443L..69S,The Nature of the Stellar continuum in the Radio Galaxy 3C 65,"Stockton, A.|Kellogg, M.|Ridgway, S.",,,,ApJ 443 L69,1995 April 20,1995,,,,LRIS,,,,
1995ApJ...444..165H,Probing the Interstellar Medium Along the Lines of Sight to Supernovae SN 1994D and SN 1994I,"Ho, L.|Filippenko, A.",,,,ApJ 444 165,1995 May 01,1995,,,,HIRES,,,,
1995Natur.375..124S,A Population of Very Diffuse Lyman-alpha Clouds as the Origin of the He+ Absorption Signal in the Intergalactic Medium,"Songaila, A .|Hu, E.|Cowie, L.",,,,Nature 375 124,1995 May 11,1995,,,,HIRES,,,,
1995PASP..107..566M,Spectroscopy of Quasar Candidates from the Case Low-Dispersion Survey,"Maxfield, L.|Djorgovski, S.|Thompson, D.",,,,PASP 107 566,1995 June,1995,http://dx.doi.org/10.1086/133593,,,LRIS,,,,
1995ApJ...448L...5M,An Emission-Line Protogalaxy Candidate at z = 2.5,"Malkan, M.|Teplitz, H.|McLean, I.",,,,ApJ 448 L5,1995 July,1995,,,,NIRC,,,,
1995ApJ...447L...5M,1608+656: A Quadruple-lens System Found in the CLASS Gravitational Lens Survey,"Myers, S.|Fassnacht,C.|Djorgovski, S.|Blandford, R.",,,,ApJ 447 L5,1995 July,1995,,,,LRIS,,,,
1995ApJ...449L.105S,Deep Optical Galaxy Counts with the Keck Telescope,"Smail, I.|Hogg, D.|Yan, L.|Cohen, J.",,,,ApJ 449 L105,1995 August,1995,,,,LRIS,,,,
1995ApJ...448L..77C,Spectropolarimetry of Two Broad absorption Line Quasars with the W. M. Keck Telescope,"Cohen, M.|Ogle, P.|Tran, H.|et. al.",,,,ApJ 448 L77,1995 August 01,1995,,,,LRIS,,,,
1995ApJ...449L..29G,High-resolution Infrared Imaging of FSC 10214+4724 Evidence for Gravitational Lensing,"Graham J.|Liu, M.",,,,ApJ 449 L29,1995 August 10,1995,,,,NIRC,,,,
1995ApJ...449L...1P,A Near-Infrared Search for Line Emission from Protogalaxies Using the W.M. Keck Telescope,"Pahre, M.|Djorgovski, S.",,,,ApJ 449 L1,1995 August 10,1995,,,,NIRC,,,,
1995ApJ...449L.117B,The Brown Dwarf Candidate 0918-0023B is a Distant Compact Galaxy,"Becklin, E.|Macintosh, B.|Zuckerman, B.",,,,ApJ 449 L117,1995 August 20,1995,,,,NIRC,,,,
1995ApJ...451L..67P,Three New Magnetic White Dwarf Stars,"Putney, A.",,,,ApJ 451 L67,1995 October,1995,,,,LRIS,,,,
1995AJ....110.1838R,The Palomar/MSU Nearby-Star Spectroscopic Survey. I. The Northern M Dwarfs -Bandstrengths and Kinematics,"Reid, I.|Hawley, S.|Gizis, J.",,,,AJ 110 1838,1995 October,1995,http://dx.doi.org/10.1086/117655,,,LRIS,,,,
1995ApJ...452L..13D,Evidence of Higher Primordial Lithium from Keck Observations of M92,"Deliyannis, C.|Boesgaard, A.|King, J.",,,,ApJ 452 L13,1995 October 10,1995,,,,HIRES,,,,
1995ApJ...452L...5V,When is BL Lac not a BL Lac?,"Vermeulen, R.|Ogle, P.|Tran, H.|et. al.",,,,ApJ 452 L5,1995 October 10,1995,,,,LRIS,,,,
1995Natur.377..603C,Detection of Massive Forming Galaxies at Redshifts Greater than One,"Cowie, L.|Hu, E.|Songaila, A.",,,,Nature 377 603,1995 October 19,1995,,,,LRIS,,,,
1995ApJ...454...44Y,Search for Coronal Emission Lines in Cooling Flow Clusters with the Keck 10-meter Telescope,"Yan, L.|Cohen, J.",,,,ApJ 454 44,1995 November,1995,,,,LRIS,,,,
1995ApJ...453..596C,Astrophysical Limits on the Evolution of Dimensionless Physical Constants over Cosmological Time,"Cowie, L.|Songaila, A.",,,,ApJ 453 596,1995 November,1995,http://dx.doi.org/10.1086/176422,,,HIRES,,,,
1995MNRAS.277....1S,The Discovery of two Giant Arcs in the Rich Cluster A2219 with the Keck Telescope,"Smail, I.|Hogg, D.|Blandford, R.|et. al.",,,,MNRAS 277 1,1995 November 01,1995,,,,LRIS,,,,
1995AJ....110.2610A,Near-Infrared Spectra of ARP 220: Spatially Resolved CO Absorption in the Inner Kiloparsec,"Armus, L.|Neugebauer, G.|Soifer, B.|Matthews, K.",,,,AJ 110 2610,1995 December,1995,http://dx.doi.org/10.1086/117718,,,NIRC,,,,
1995ApJ...454L.141V,Spectroscopy of the White-Dwarf Companions of PSR 0655+64 and 0820+02,"van Kerkwijk, M.|Kulkarni, S.",,,,ApJ 454 L141,1995 December,1995,,,,LRIS,,,,
1995AJ....110.2597T,Keck Spectropolarimetry of the Radio Galaxy 3C 234,"Tran, H.|Cohen, M.|Goodrich, R.",,,,AJ 110 2597,1995 December,1995,http://dx.doi.org/10.1086/117716,,,LRIS,,,,
1995ApJ...455L.139F,A Black Hole in the X-Ray Nova GS 2000+25,"Filippenko, A.|Matheson, T.|Barth, A.",,,,ApJ 455 L139,1995 December,1995,,,,LRIS,,,,
1995ApJ...455L.135M,Stellar Abundances and Winds of A-type Supergiant Stars in M33 First Results from the Keck HIRES Spectrograph,"McCarthy, J.|Lennon, D.|Venn, K.|et. al.",,,,ApJ 455 L135,1995 December 20,1995,,,,HIRES,,,,
1995ApJ...455..614F,The Mass of the Probable Black Hole in the X-Ray Nova GRO J0422+32,"Filippenko, A.|Matheson, T.|Ho, L.",,,,ApJ 455 614,1995 December 20,1995,,,,LRIS,,,,
1996ApJ...456L...9G,"FSC 10214+4724 A Gravitationally Lensed, Hidden QSO","Goodrich, R.|Miller, J.|Martel, A.|et. al.",,,,ApJ 456 L9,1996 January,1996,http://dx.doi.org/10.1086/309855,,,LRIS,,,,
1996ApJ...457L...1L,Properties of a high-redshift galaxy at z=4.4,"Lu, L.|Sargent, W.|Womble, D.|Barlow, T.",,,,ApJ 457 L1,1996 January,1996,http://dx.doi.org/10.1086/309887,,,HIRES,,,,
1996AJ....111..365G,GJ 1230: A Nearby Triple System,"Gizis, J.|Reid, I.",,,,AJ 111 365,1996 January,1996,http://dx.doi.org/10.1086/117789,,,HIRES,,,,
1996ApJ...456L..79P,"A Tolman Surface Brightness Test for Universal Expansion, and the Evolution of Elliptical Galaxies in Distant Clusters","Pahre, M.|Djorgovski, S.|de Carvalho, R.",,,,ApJ 456 L79,1996 January,1996,http://dx.doi.org/10.1086/309872,,,NIRC,,,,
1996AJ....111..649S,Near Infrared Observations of IRAS 09104+4109,"Soifer, B.|Neugebauer, G.|Armus, L.|Shupe, D.",,,,AJ 111 649,1996 February,1996,http://dx.doi.org/10.1086/117814,,,NIRC,,,,
1996ApJ...458..600B,Lithium in brown dwarf candidates: the mass and age of the faintest Pleiades stars,"Basri, G.|Marcy, G.|Graham, J.",,,,ApJ 458 600,1996 February,1996,,,,HIRES,,,,
1996ApJ...459..133D,The Radio Galaxy 3C 265 Contains a Hidden Quasar Nucleus,"Dey, A.|Spinrad, H.",,,,ApJ 459 133,1996 March,1996,http://dx.doi.org/10.1086/176874,,,LRIS,,,,
1996ApJ...460L...5G,On the Nature of the Faint Compact Narrow Emission-Line Galaxies: The Half-Light Radius--Velocity Width Diagram,"Guzman, R.|Koo, D.|Faber, S.|Illingworth, G.",,,,ApJ 460 L5,1996 March,1996,http://dx.doi.org/10.1086/309966,,,HIRES,,,,
1996PASP..108..277O,Night--Sky High--Resolution Spectral Atlas of OH and O2 Emission Lines for Echelle Spectrogram Wavelength Calibration,"Osterbrock, D.|Fulbright, J.|Martel, A.|et. al.",,,,PASP 108 277,1996 March,1996,http://dx.doi.org/10.1086/133722,,,HIRES,,,,
1996ApJ...460..984S,The Age-related Properties of the HD 98800 System,"Soderblom, D.|Henry, T.|Shetrone, M.|et. al.",,,,ApJ 460 984,1996 April,1996,http://dx.doi.org/10.1086/177026,,ADS Labs search,HIRES,,,UC,
1996Icar..121..195D,Keck Infrared Observations of Saturn's E and G Rings During Earth's 1995 Ring Plane Crossings,"de Pater, I.|Showalter, M.|Lissauer, J.|Graham, J.",,,,Icarus 121 195,1996 May,1996,,,,NIRC,,,,Solar System
1996AJ....111.2000R,White dwarf masses - gravitational redshifts revisited,"Reid, I.",,,,AJ 111 2000,1996 May,1996,http://dx.doi.org/10.1086/117936,,,HIRES,,,,
1996ApJ...462L...9C,Strong redshift clustering of distant galaxies,"Cohen, J.|Hogg, D.|Pahre, M.|Blandford, R.",,,,ApJ 462 L9,1996 May,1996,http://dx.doi.org/10.1086/310020,,,LRIS,,,,
1996ApJ...462...89F,Keck Spectroscopy and Hubble Space Telescope Imaging of Field Galaxies at Moderate Redshift,"Forbes, D.|Phillips, A.|Koo, D.|Illingworth, G.",,,,ApJ  462  89,1996 May,1996,http://dx.doi.org/10.1086/177130,,,LRIS,,,,
1996ApJ...462L..17S,Spectroscopic Confirmation of a Population of Normal Star-forming Galaxies at Redshifts Z > 3,"Steidel, C.|Giavalisco, M.|Pettini, M.|et. al.",,,,ApJ 462 L17,1996 May,1996,,,,LRIS,,,,
1996AJ....111.1816K,A Multicolor CCD Survey for Faint z>4 Quasars,"Kennefick, J.|Djorgovski, S.|Meylan, G.",,,,AJ 111 1816,1996 May,1996,http://dx.doi.org/10.1086/117920,,,LRIS|NIRC,,,Caltech,
1996Natur.381..207T,Cosmological baryon density derived from the deuterium abundance at redshift z = 3.57,"Tytler, D.|Fan, X.|Burles, S.",,,,Nature 381 207,1996 May,1996,,,,HIRES,,,UC,
1996PASP..108..500B,Attaining Doppler Precision of 3 M s-1,"Butler, R.|Marcy, G.|Williams, E.|McCarthy, C.",,,,PASP 108 500,1996 June,1996,http://dx.doi.org/10.1086/133755,,,HIRES,,,,
1996AJ....111.2439C,Echelle Spectroscopy of a Metal-Rich K Giant in Baade's Window Using the Keck High-Resolution Spectrograph,"Castro, S.|Rich, R.|McWilliam, A.|et. al.",,,,AJ 111 2439,1996 June,1996,,,,HIRES,,,,
1996Natur.381..581D,A 3.5-Gyr-old galaxy at redshift 1.55,"Dunlop, J.|Peacock, J.|Spinrad, H.|et. al.",,,,Nature 381 581,1996 June,1996,,,,LRIS,,,,
1996ApJ...465..145C,Keck Spatially Resolved Spectropolarimetry of the Distant Radio Galaxy 3C 324,"Cimatti, A.|Dey, A.|van Breugel, W.|et. al.",,,,ApJ 465 145,1996 July,1996,http://dx.doi.org/10.1086/177408,,,LRIS,,,,
1996ApJ...465L..15V,Optical rotation curves of distant field galaxies: Keck results at redshifts to z 1,"Vogt, N.|Forbes, D.|Phillips, A.|et. al.",,,,ApJ 465 L15,1996 July,1996,http://dx.doi.org/10.1086/310136,,,LRIS,,,,
1996PASP..108..615M,The First Diffraction-Limited Images from the W. M. Keck Telescope,"Matthews, K.|Ghez, A.|Weinberger, A.|Neugebauer, G.",,,,PASP 108  615,1996 July,1996,http://dx.doi.org/10.1086/133773,,,NIRC,,,,
1996ApJ...465..157D,On the Origin of the UV Continuum Emission from the High Redshift Radio Galaxy 3C 256,"Dey, A.|Cimatti, A.|van Breugel, W.|et. al.",,,,ApJ 465 157,1996 July,1996,http://dx.doi.org/10.1086/177409,,,LRIS,,,,
1996Natur.382..234D,Identification of a galaxy responsible for a high-redshift Lyman-alpha absorption system,"Djorgovski, S.|Pahre, M.|Bechtold, J.|Elston, R.",,,,Nature 382 234,1996 July,1996,http://arxiv.org/pdf/astro-ph/9605154v1,,,LRIS,,,,
1996AJ....112..186J,The Evolution of the Lithium Abundances of Solar-Type Stars. VI. The End of Lithium in the Pleiades,"Jones, B.|Shetrone, M.|Fischer, D.|Soderblom, D.",,,,AJ 112 186,1996 July,1996,http://dx.doi.org/10.1086/117999,,,HIRES,,,,
1996Natur.382..231H,Detection of Lyman-alpha Emitting Galaxies at Redshift z=4.55,"Hu, E.|McMahon, R.",,,,Nature 382 231,1996 July,1996,http://dx.doi.org/10.1038/382231a0,,ADS Labs search,LRIS,,,,
1996AJ....112..335S,Metal Enrichment and Ionization Balance in the Lyman Forest at z = 3,"Songaila, A.|Cowie, L.",,,,AJ 112 335,1996 August,1996,http://dx.doi.org/10.1086/118018,,,HIRES,,,,
1996ApJ...466L..83H,"Dynamical Evidence for Massive, Young Globular Clusters in NGC 1569","Ho, L.|Filippenko, A.",,,,ApJ 466 L83,1996 August,1996,http://dx.doi.org/10.1086/310181,,,HIRES,,,,
1996ApJ...467L...5R,Temperature and kinematics of C IV absorption systems,"Rauch, M.|Sergent, W.|Womble, D.|Barlow, T.",,,,ApJ 467 L5,1996 August,1996,http://dx.doi.org/10.1086/310187,,,HIRES,,,,
1996AJ....112..352S,Spectroscopy of Lyman Break Galaxies in the Hubble Deep Field,"Steidel, C.|Giavalisco, M.|Dickinson, M.|Adelberger, K.",,,,AJ 112 352,1996 August,1996,http://dx.doi.org/10.1086/118019,,,LRIS,,,Caltech,
1996ApJ...469L..53R,Brown dwarfs in the Pleiades cluster confirmed by the lithium test,"Rebolo, R.|Martín, E.|Basri, G.|Marcy, G.",,,,ApJ 469 L53,1996 September,1996,http://dx.doi.org/10.1086/310263,,,LRIS,,,,
1996ApJ...468L...9M,A young cluster of galaxies at z=2.5,"Malkan, M.|Teplitz, H.|McLean, I.",,,,ApJ 468 L9,1996 September,1996,http://dx.doi.org/10.1086/310228,,,LRIS,,,,
1996AJ....112..839C,New Insight on Galaxy Formation and Evolution From Keck Spectroscopy of the Hawaii Deep Fields,"Cowie, L.|Songaila, A.|Hu, E.|Cohen, J.",,,,AJ 112 839,1996 September,1996,http://dx.doi.org/10.1086/118058,,,LRIS,,,,
1996PASP..108..762H,The Mass Ratio and the Disk Image of the X-Ray Nova GS 2000+25,"Harlaftis, E.|Horne, K.|Filippenko, A.",,,,PASP 108 762,1996 September,1996,http://dx.doi.org/10.1086/133799,,,LRIS,,,,
1996AJ....112..902S,The Position of the Nucleus and the Nature of the Aligned Component in 3C 368,"Stockton, A.|Ridgway, S.|Kellogg, M.",,,,AJ  112  902,1996 September,1996,http://dx.doi.org/10.1086/118063,,,LRIS,,,,
1996ApJ...470..771L,IRAS FSC 15307+3252  Gravitationally-Lensed Seyfert or Cannibal Elliptical at z = 0.93?,"Liu, M.|Graham, J.|Wright, G.",,,,ApJ 470 771,1996 October,1996,http://dx.doi.org/10.1086/177907,,,NIRC,,,,
1996AJ....112.1562J,Keck Rotational Velocities of the Faintest Pleiades and Hyades Members,"Jones, B.|Fischer, D.|Stauffer, J.",,,,AJ 112 1562,1996 October,1996,http://dx.doi.org/10.1086/118123,,,HIRES,,,,
1996ApJ...469..535K,Redshift Z approximately 1 Field Galaxies Observed with the Keck Telescope and the Hubble Space Telescope,"Koo, D.|Vogt, N.|Phillips, A.|et. al.",,,,ApJ 469 535,1996 October,1996,http://dx.doi.org/10.1086/177802,,,LRIS,,,,
1996ApJ...470..403P,A Keck HIRES Investigation of the Metal Abundances and Kinematics of the Z = 2.46 Damped LY alpha System toward Q0201+365,"Prochaska, J.|Wolfe, A.",,,,ApJ 470 403,1996 October,1996,http://dx.doi.org/10.1086/177875,,,HIRES,,,,
1996AJ....112.1472R,Starcounts Redivivus II: Deep Starcounts With Keck and HST and the Luminosity Function of the Galactic Halo,"Reid, I.|Yan, L.|Majewski, S.|et. al.",,,,AJ 112 1472,1996 October,1996,http://dx.doi.org/10.1086/118115,,,LRIS,,,,
1996AJ....112.1551B,"Chemical abundances in the Outer Disk Clusters Tombaugh 2, Melotte 71, and NGC 2112","Brown, J.|Wallerstein, G.|Geisler, D.|Oke, J.",,,,AJ 112 1551,1996 October,1996,http://dx.doi.org/10.1086/118122,,ADS Labs search,LRIS,,,,
1996AJ....112.1678M,Spectral Energy Distribution and Bolometric Luminosity of the Cool Brown Dwarf Gliese 229B,"Matthews, K.|Nakajima, T.|Kulkarni, S.|Oppenheimer, B.",,,,AJ 112 1678,1996 October,1996,http://dx.doi.org/10.1086/118133,,,NIRC,,,Caltech,
1996ApJ...471..720G,The Redshift of an Extremely Red Object and the Nature of the Very Red Galaxy Population,"Graham, J.|Dey, A.",,,,ApJ 471 720,1996 November,1996,http://dx.doi.org/10.1086/178000,,,NIRC,,,,
1996ApJ...471..164C,On the Spatial and Kinematic Distributions of MG II Absorbing Gas in < z< approximately 0.7 Galaxies,"Churchill, C.|Steidel, C.|Vogt, S.",,,,ApJ 471 164,1996 November,1996,http://dx.doi.org/10.1086/177960,,,HIRES,,,,
1996ApJ...471L...5C,Redshift Clustering in the Hubble Deep Field,"Cohen, J.|Cowie, L.|Hogg, D.|et. al.",,,,ApJ 471 L5,1996 November,1996,http://dx.doi.org/10.1086/310330,,,LRIS,,,,
1996AJ....112.2310L,Color Diversity Among the Centaurs and Kuiper Belt Objects,"Luu, J.|Jewitt, D.",,,,AJ 112 2310,1996 November,1996,http://dx.doi.org/10.1086/118184,,,LRIS,,,,Solar System
1996ApJ...472..600H,"High-Dispersion Spectroscopy of a Luminous, Young Star Cluster in NGC 1705  Further Evidence for Present-Day Formation of Globular Clusters","Ho, L.|Filippenko, A.",,,,ApJ 472 600,1996 December,1996,http://dx.doi.org/10.1086/178091,,,HIRES,,,,
1996ApJ...472..509L,The Lyman-Alpha Forest at Z approximately 4: Keck HIRES Observations of Q0000-26,"Lu, L.|Sargent, W.|Womble, D.|Takada-Hidai, M.",,,,ApJ  472  509,1996 December,1996,,,,HIRES,,,,
1996MNRAS.283.1388M,High-redshift galaxies in the Hubble Deep Field: colour selection and star formation history to z~4,"Madau, P.|Ferguson, H..|Dickinson, M.|et. al.",,,,MNRAS 283 1388,1996 December,1996,http://arxiv.org/abs/astro-ph/9607172,,,LRIS,,,,
1996MNRAS.283..821S,Analysis of Keck high-resolution spectra of VB 10,"Schweitzer, A.|Hauschildt, P.|Allard, F.|Basri, G.",,,,MNRAS 283 821,1996 December,1996,http://adsabs.harvard.edu/abs/1996MNRAS.283..821S,,,HIRES,,,,
1996AJ....112.2839K,Constraints of the Origin of the Remarkable Lithium Abundance in the Halo Star BD+23 3912,"King, J.|Deliyannis, C.|Boesgaard, A.",,,,AJ 112 2839,1996 December,1996,http://dx.doi.org/10.1086/118224,,added oct 2010,HIRES,,,UC,
1997AJ....113..296O,Lithium in Very Low-Mass Stars in the Pleiades,"Oppenheimer, B.|Basri, G.|Nakajima, T.|Kulkarni, S.",,,,AJ 113 296,1997 January,1997,http://dx.doi.org/10.1086/118252,,,HIRES,,,,
1997ApJ...474L..19D,Dynamical Correlations for Globular Clusters in M31,"Djorgovski, S.|Gal, R.|McCarthy, J.|et. al.",,,,ApJ 474 L19,1997 January,1997,http://dx.doi.org/10.1086/310423,,,HIRES,,,,
1997AJ....113..136B,Keck High Resolution Spectroscopy of PKS 0123+257 Intrinsic Absorption in a Radio-Loud Quasar,"Barlow, T.|Sargent, W.",,,,AJ 113 136,1997 January,1997,http://dx.doi.org/10.1086/118239,,,HIRES,,,,
1997ApJ...474..140P,A Keck HIRES Investigation of the Metal Abundances and Kinematics of Three Damped LY alpha Systems toward Q2206-199,"Prochaska, J.|Wolfe, A.",,,,ApJ 474 140,1997 January,1997,http://dx.doi.org/10.1086/303457,,,HIRES,,,,
1997ApJ...474L...1Z,Keck Spectroscopy of Objects with Lens-like Morphologies in the Hubble Deep Field,"Zepf, S.|Moustakas, L.|Davis, M.",,,,ApJ  474 L1,1997 January,1997,http://dx.doi.org/10.1086/310416,,,LRIS,,,,
1997AJ....113..279K,"Proton Capture Chains in Globular Cluster Stars.II.Oxygen, Sodium, Magnesium, and Aluminum Abundances in M13 Giants Brighter Than the Horizontal Branch","Kraft, R.|Sneden, C.|Smith, G.|et. al.",,,,AJ 113 279,1997 January,1997,http://dx.doi.org/10.1086/118251,,added oct 2010,HIRES,,,UC,
1997ApJ...476..677C,Keck Spectropolarimetry of Two High-z Radio Galaxies. Discerning the Components of the Alignment Effect,"Cimatti, A.|Dey, A.|van Breugel, W.|et. al.",,,,ApJ 476 677,1997 February,1997,http://dx.doi.org/10.1086/303660,,,LRIS,,,,
1997ApJ...475..445M,Colors and K-Band Counts of Extremely Faint Field Galaxies,"Moustakas, L.|Davis, M.|Graham, J.|et. al.",,,,ApJ 475 445,1997 February,1997,http://dx.doi.org/10.1086/303554,,,NIRC,,,,
1997A&A...318L..43N,On the X-ray position and deep optical imaging of the neutron star candidate RX J1856.5-3754.,"Neuhaeuser, R.|Thomas, H.|Danner, R.|et. al.",,,,A&A 318 L43,1997 February,1997,,,,LRIS,,,,
1997AJ....113..474H,Near Infrared Imaging of the Hubble Deep Field with the Keck Telescope,"Hogg, D.|Neugebauer, G.|Armus, L.|et. al.",,,,AJ 113 474,1997 February,1997,,,,NIRC,,,,
1997ApJ...476L..63K,Implications for the Hubble Constant from the First Seven Supernovae at Z 0.35,"Kim, A.|Gabi, S.|Goldhaber, G.|et. al.",,,,ApJ 476 L63,1997 February,1997,http://dx.doi.org/10.1086/310507,,From Dr. Filippenko's email of 19Feb09|Second Look 27 July|1997ApJ...483..565P,LRIS,,,,
1997NuPhA.621...19K,Constraints on the Origin of the Remarkable Lithium Abundance of the Halo Star BD+23 3912,"King, J.|Deliyannis, C.|Boesgaard, A.",,,,NuPhA 621 19,1997 February,1997,,10.1016/S0375-9474(97)00204-2,added oct 2010,HIRES,,,,
1997ApJ...478...87H,Time-Variable Intrinsic Absorption Lines in the Quasi-stellar Object Q2343+125,"Hamann, F.|Barlow, T.|Junkkarinen, V.",,,,ApJ 478 87,1997 March,1997,http://dx.doi.org/10.1086/303782,,,HIRES,,,,
1997ApJ...478...80H,High-Resolution Spectra of Intrinsic Absorption Lines in the Quasi-stellar Object UM 675,"Hamann, F.|Barlow, T.|Junkkarinen, V.|Burbidge, E.",,,,ApJ 478 80,1997 March,1997,http://dx.doi.org/10.1086/303781,,,HIRES,,,,
1997ApJ...478L..13K,Evolution of Early-Type Galaxies in Distant Clusters. The Fundamental Plane from Hubble Space Telescope Imaging and Keck Spectroscopy,"Kelson, D.|van Dokkum, P.|Franx, M.|Illingworth, G.|Fabricant, D.",,,,ApJ 478 L13,1997 March,1997,http://dx.doi.org/10.1086/310545,,,LRIS,,,,
