1994AJ....107.2222M,keck,,LRIS,0
1994ApJ...420L...1S,keck,,NIRC,0
1994ApJ...420L...5G,keck,,NIRC,0
1994ApJ...420L...9L,keck,,NIRC,0
1994ApJ...420L..13M,keck,,NIRC,0
1994ApJ...428L..57M,keck,,HIRES,0
1994ApJ...433L..69S,keck,,NIRC,0
1994ApJ...435L.101W,keck,,HIRES,0
1994Natur.368..599S,keck,,HIRES,0
1994Natur.371...13M,keck,,HIRES,0
1994Natur.371...43S,keck,,HIRES,0
1995AJ....109..151V,keck,,HIRES,0
1995AJ....109..762B,keck,,HIRES,0
1995AJ....109.1522C,keck,,HIRES,0
1995AJ....110.1838R,keck,,LRIS,0
1995AJ....110.2597T,keck,,LRIS,0
1995AJ....110.2610A,keck,,NIRC,0
1995ApJ...438L..13D,keck,,NIRC,0
1995ApJ...438L..51S,keck,,LRIS,0
1995ApJ...440..515D,keck,,LRIS,0
1995ApJ...440L..49K,keck,,HIRES,0
1995ApJ...443L..65S,keck,,LRIS|NIRC,0
1995ApJ...443L..69S,keck,,LRIS,0
1995ApJ...444..165H,keck,,HIRES,0
1995ApJ...447L...5M,keck,,LRIS,0
1995ApJ...448L...5M,keck,,NIRC,0
1995ApJ...448L..77C,keck,,LRIS,0
1995ApJ...449L...1P,keck,,NIRC,0
1995ApJ...449L..29G,keck,,NIRC,0
1995ApJ...449L.105S,keck,,LRIS,0
1995ApJ...449L.117B,keck,,NIRC,0
1995ApJ...451L..67P,keck,,LRIS,0
1995ApJ...452L...5V,keck,,LRIS,0
1995ApJ...452L..13D,keck,,HIRES,0
1995ApJ...453..596C,keck,,HIRES,0
1995ApJ...454...44Y,keck,,LRIS,0
1995ApJ...454L.141V,keck,,LRIS,0
1995ApJ...455..614F,keck,,LRIS,0
1995ApJ...455L.135M,keck,,HIRES,0
1995ApJ...455L.139F,keck,,LRIS,0
1995LNP...463..125B,keck,,NIRC,0
1995MNRAS.277....1S,keck,,LRIS,0
1995Natur.375..124S,keck,,HIRES,0
1995Natur.377..603C,keck,,LRIS,0
1995PASP..107..179G,keck,,LRIS,0
1995PASP..107..375O,keck,,LRIS,0
1995PASP..107..566M,keck,,LRIS,0
1995Sci...267.1320G,keck,,NIRC,0
1996AJ....111..365G,keck,,HIRES,0
1996AJ....111..649S,keck,,NIRC,0
1996AJ....111.1816K,keck,,LRIS|NIRC,0
1996AJ....111.2000R,keck,,HIRES,0
1996AJ....111.2439C,keck,,HIRES,0
1996AJ....112..186J,keck,,HIRES,0
1996AJ....112..335S,keck,,HIRES,0
1996AJ....112..352S,keck,,LRIS,0
1996AJ....112..839C,keck,,LRIS,0
1996AJ....112..902S,keck,,LRIS,0
1996AJ....112.1472R,keck,,LRIS,0
1996AJ....112.1551B,keck,,LRIS,0
1996AJ....112.1562J,keck,,HIRES,0
1996AJ....112.1678M,keck,,NIRC,0
1996AJ....112.2310L,keck,,LRIS,0
1996AJ....112.2839K,keck,,HIRES,0
1996ApJ...456L...9G,keck,,LRIS,0
1996ApJ...456L..79P,keck,,NIRC,0
1996ApJ...457L...1L,keck,,HIRES,0
1996ApJ...458..600B,keck,,HIRES,0
1996ApJ...459..133D,keck,,LRIS,0
1996ApJ...460..984S,keck,,HIRES,0
1996ApJ...460L...5G,keck,,HIRES,0
1996ApJ...462...89F,keck,,LRIS,0
1996ApJ...462L...9C,keck,,LRIS,0
1996ApJ...462L..17S,keck,,LRIS,0
1996ApJ...465..145C,keck,,LRIS,0
1996ApJ...465..157D,keck,,LRIS,0
1996ApJ...465L..15V,keck,,LRIS,0
1996ApJ...466L..83H,keck,,HIRES,0
1996ApJ...467L...5R,keck,,HIRES,0
1996ApJ...468L...9M,keck,,LRIS,0
1996ApJ...469..535K,keck,,LRIS,0
1996ApJ...469L..53R,keck,,LRIS,0
1996ApJ...470..403P,keck,,HIRES,0
1996ApJ...470..771L,keck,,NIRC,0
1996ApJ...471..164C,keck,,HIRES,0
1996ApJ...471..720G,keck,,NIRC,0
1996ApJ...471L...5C,keck,,LRIS,0
1996ApJ...472..509L,keck,,HIRES,0
1996ApJ...472..600H,keck,,HIRES,0
1996Icar..121..195D,keck,,NIRC,0
1996MNRAS.283..821S,keck,,HIRES,0
1996MNRAS.283.1388M,keck,,LRIS,0
1996Natur.381..207T,keck,,HIRES,0
1996Natur.381..581D,keck,,LRIS,0
1996Natur.382..231H,keck,,LRIS,0
1996Natur.382..234D,keck,,LRIS,0
1996PASP..108..277O,keck,,HIRES,0
1996PASP..108..500B,keck,,HIRES,0
1996PASP..108..615M,keck,,NIRC,0
1996PASP..108..762H,keck,,LRIS,0
1997A&A...318L..43N,keck,,LRIS,0
1997A&A...323..819H,keck,,HIRES,0
1997A&A...327L..29M,keck,,HIRES,0
1997AJ....113..136B,keck,,HIRES,0
1997AJ....113..279K,keck,,HIRES,0
1997AJ....113..296O,keck,,HIRES,0
1997AJ....113..474H,keck,,NIRC,0
1997AJ....113.1495H,keck,,HIRES,0
1997AJ....113.1871K,keck,,HIRES,0
1997AJ....113.2338H,keck,,NIRC,0
1997AJ....114..352J,keck,,HIRES,0
1997AJ....114..507K,keck,,LRIS,0
1997AJ....114..722R,keck,,LRIS,0
1997AJ....114..781B,keck,,HIRES,0
1997AJ....114.1170H,keck,,LRIS,0
1997AJ....114.1330B,keck,,HIRES|LRIS,0
1997AJ....114.1964S,keck,,HIRES,0
1997AJ....114.2232S,keck,,LRIS,0
1997AJ....114.2276K,keck,,LRIS,0
1997ApJ...474..140P,keck,,HIRES,0
1997ApJ...474L...1Z,keck,,LRIS,0
